Posted Date,Transaction Date,Transaction Type,Check/Serial #,Description,Amount,Daily Posted Balance
11/18/2024,11/18/2024,POS,,PAYMENTICO.COM 11-16 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
11/18/2024,11/18/2024,POS,,365 MARKET 888 43 11-17 TROY MI6537 DEBIT CARD PURCHASE,($5.35),
11/18/2024,11/18/2024,POS,,365 MARKET 888 43 11-17 TROY MI6537 DEBIT CARD PURCHASE,($3.05),
11/18/2024,11/18/2024,POS,,COSTCO WHSE #0359 11-17-24 CHARLOTTE NC 6537 DEBIT CARD PURCHASE-PIN,($23.44),
11/18/2024,11/18/2024,Debit,,PAYMENTICO.COM 11-15 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
11/18/2024,11/18/2024,Debit,,PAYMENTICO.COM 11-15 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
11/18/2024,11/18/2024,Debit,,PAYMENTICO.COM 11-15 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
11/18/2024,11/18/2024,Debit,,Guardance exchange 11-15 VILNIAUS 6537 INT'L SERVICE ASSESSMENT FEE,($3.9),
11/18/2024,11/18/2024,Debit,,PAYMENTICO.COM 11-16 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
11/18/2024,11/18/2024,Debit,,PAYMENTICO.COM 11-16 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),$418.27
11/19/2024,11/19/2024,POS,,365 MARKET 888 43 11-18 TROY MI6537 DEBIT CARD PURCHASE,($4),
11/19/2024,11/19/2024,POS,,COSTCO WHSE #0359 11-18-24 CHARLOTTE NC 6537 DEBIT CARD PURCHASE-PIN,($2.15),
11/19/2024,11/19/2024,POS,,GOOGLE*AUDIBLE AUD 11-18 G.CO/HELPPAY# CA 6537 DEBIT CARD PURCHASE,($17.07),
11/19/2024,11/19/2024,POS,,MCDONALD'S F31747 11-18 WELEY CHAPEL NC 6537 DEBIT CARD PURCHASE,($3.19),
11/19/2024,11/19/2024,POS,,FOOD LION #2256 11-18 WESLEY CHAPEL NC 6537 DEBIT CARD PURCHASE,($30.56),
11/19/2024,11/19/2024,Debit,,PAYMENT CITI CARD ONLINE 421543722910041 INTERNET PAYMENT,($82.33),
11/19/2024,11/19/2024,Debit,,CCPYMT WELLS FARGO CARD 90154554349811 INTERNET PAYMENT,($135),
11/19/2024,11/19/2024,POS,,JACKIE AND CO LL 11-19-24 MONROE6537 DEBIT CARD PURCHASE-PIN,($12.24),$131.73
11/20/2024,11/20/2024,POS,,365 MARKET 888 43 11-19 TROY MI6537 DEBIT CARD PURCHASE,($4),
11/20/2024,11/20/2024,POS,,365 MARKET 888 43 11-19 TROY MI6537 DEBIT CARD PURCHASE,($1.45),
11/20/2024,11/20/2024,POS,,2020 SMOKE SHOP 11-19 MONROE NC6537 DEBIT CARD PURCHASE,($18.18),$108.10
11/21/2024,11/21/2024,POS,,FOOD LION #0034 100 E. 11-20-24MONROE 6537 DEBIT CARD PURCHASE-PIN,($32.27),
11/21/2024,11/21/2024,POS,,MARATHON PETRO13 11-20-24 MONROE6537 DEBIT CARD PURCHASE-PIN,($37.01),$38.82
11/22/2024,11/22/2024,POS,,365 MARKET 888 43 11-21 TROY MI6537 DEBIT CARD PURCHASE,($4.1),
11/22/2024,11/22/2024,POS,,365 MARKET 888 43 11-21 TROY MI6537 DEBIT CARD PURCHASE,($2.65),
11/22/2024,11/22/2024,POS,,365 MARKET 888 43 11-21 TROY MI6537 DEBIT CARD PURCHASE,($1.35),
11/22/2024,11/22/2024,POS,,COSTCO WHSE #0359 11-21-24 CHARLOTTE NC 6537 DEBIT CARD PURCHASE-PIN,($2.15),
11/22/2024,11/22/2024,Check,7012316,TELLER CASHED CHECK #7012316,($2600),-$2571.43
11/25/2024,11/25/2024,Credit,0,MOBILE DEPOSIT,$1000,
11/25/2024,11/25/2024,Credit,,11-22-24 VISA DIRECT WI 6537 AMFCONNECT INSURANCE VISA MONEY TRANSFER CREDIT,$3694.25,
11/25/2024,11/25/2024,POS,,PAYMENTICO.COM 11-22 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
11/25/2024,11/25/2024,POS,,COSTCO WHSE #0359 11-22 CHARLOTTE NC 6537 DEBIT CARD PURCHASE,($1.62),
11/25/2024,11/25/2024,POS,,SHELL OIL 57525214 11-22 HENDERSON NC 6537 DEBIT CARD PURCHASE,($37.55),
11/25/2024,11/25/2024,POS,,METRO FOOD MART 11-22-24 HENDERSON 6537 DEBIT CARD PURCHASE-PIN,($5.11),
11/25/2024,11/25/2024,POS,,CSC 23832 11-23 CHESTER VA 6537DEBIT CARD PURCHASE,($21.98),
11/25/2024,11/25/2024,POS,,LOWE'S #680 11-24-24 MONROE NC 6537 DEBIT CARD PURCHASE-PIN,($14.16),
11/25/2024,11/25/2024,POS,,PAYMENTICO.COM 11-24 441344586020 6537 DEBIT CARD RECURRING PYMT,($49.99),
11/25/2024,11/25/2024,POS,,PAYMENTICO.COM 11-24 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/25/2024,11/25/2024,POS,,PAYMENTICO.COM 11-24 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/25/2024,11/25/2024,POS,,PAYMENTICO.COM 11-24 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
11/25/2024,11/25/2024,POS,,PAYMENTICO.COM 11-24 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
11/25/2024,11/25/2024,POS,,PAYMENTICO.COM 11-24 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
11/25/2024,11/25/2024,Debit,,PAYMENTICO.COM 11-22 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
11/25/2024,11/25/2024,Debit,,EPAY CHASE CREDIT CRD 7978406010INTERNET PAYMENT,($300),
11/25/2024,11/25/2024,Debit,,E-PAYMENT DISCOVER 8736 INTERNETPAYMENT,($194.87),
11/25/2024,11/25/2024,Debit,,PAYMENTICO.COM 11-24 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/25/2024,11/25/2024,Debit,,PAYMENTICO.COM 11-24 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/25/2024,11/25/2024,Debit,,PAYMENTICO.COM 11-24 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
11/25/2024,11/25/2024,Debit,,PAYMENTICO.COM 11-24 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
11/25/2024,11/25/2024,Debit,,PAYMENTICO.COM 11-24 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
11/25/2024,11/25/2024,Debit,,PAYMENTICO.COM 11-24 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($1.5),$1388.98
11/26/2024,11/26/2024,POS,,D J*WSJ 11-25 800-568-7625 NJ 6537 DEBIT CARD RECURRING PYMT,($4.27),
11/26/2024,11/26/2024,POS,,PAYMENTICO.COM 11-24 441344586020 6537 DEBIT CARD PURCHASE,($9.99),
11/26/2024,11/26/2024,POS,,IWC INTERNATIONAL 11-24 307-2220026 WY 6537 DEBIT CARD PURCHASE,($21),
11/26/2024,11/26/2024,POS,,IWC INTERNATIONAL 11-24 323-5137780 CA 6537 DEBIT CARD PURCHASE,($10.5),
11/26/2024,11/26/2024,POS,,PAYMENTICO.COM 11-24 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
11/26/2024,11/26/2024,POS,,365 MARKET 888 43 11-25 TROY MI6537 DEBIT CARD PURCHASE,($2.65),
11/26/2024,11/26/2024,POS,,365 MARKET 888 43 11-25 TROY MI6537 DEBIT CARD PURCHASE,($2.65),
11/26/2024,11/26/2024,POS,,LOWE'S #680 11-25-24 MONROE NC 6537 DEBIT CARD PURCHASE-PIN,($26.08),
11/26/2024,11/26/2024,POS,,JACKIE AND CO LL 11-26-24 MONROE6537 DEBIT CARD PURCHASE-PIN,($6.76),
11/26/2024,11/26/2024,Debit,,PAYMENTICO.COM 11-24 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/26/2024,11/26/2024,Debit,,PAYMENTICO.COM 11-24 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),$1283.16
11/27/2024,11/27/2024,POS,,PAYMENTICO.COM 11-26 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
11/27/2024,11/27/2024,POS,,PAYMENTICO.COM 11-26 441344586020 6537 DEBIT CARD PURCHASE,($9.99),
11/27/2024,11/27/2024,POS,,365 MARKET 888 43 11-26 TROY MI6537 DEBIT CARD PURCHASE,($2.65),
11/27/2024,11/27/2024,POS,,365 MARKET 888 43 11-26 TROY MI6537 DEBIT CARD PURCHASE,($2.65),
11/27/2024,11/27/2024,POS,,WARSON GROUP INC 11-26 314-721-8500 MO 6537 DEBIT CARD PURCHASE,($103.99),
11/27/2024,11/27/2024,Debit,,PAYMENT CITI CARD ONLINE 431550435563158 INTERNET PAYMENT,($237.77),
11/27/2024,11/27/2024,Debit,,PAYMENTICO.COM 11-26 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/27/2024,11/27/2024,Debit,,PAYMENTICO.COM 11-26 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),$904.19
11/29/2024,11/29/2024,Credit,,COWHOLES1 COSTCO WHOLESALE 7716ERIC DAILY ACH CREDIT,$1091.13,
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD PURCHASE,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($9.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
11/29/2024,11/29/2024,POS,,PAYMENTICO.COM 11-27 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
11/29/2024,11/29/2024,POS,,LOWE'S #680 11-27-24 MONROE NC 6537 DEBIT CARD PURCHASE-PIN,($72.89),
11/29/2024,11/29/2024,POS,,ZOOM EXPRESS 11-27-24 MONROE NC6537 DEBIT CARD PURCHASE-PIN,($49.22),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
11/29/2024,11/29/2024,Debit,,8008220382 Truliant Federal Account opening INTERNET PAYMENT,($50),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.3),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
11/29/2024,11/29/2024,Debit,,PAYMENTICO.COM 11-27 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
11/29/2024,11/29/2024,Debit,,ACCOUNT NUMBER 177762217 PREAUTHORIZED TRANSFER,($5),$1599.00
12/02/2024,12/02/2024,POS,,AMAZON MKTPL*Z35QH 11-29 Amzn.com/bill WA 6537 DEBIT CARD PURCHASE,($103.56),
12/02/2024,12/02/2024,POS,,PAYMENTICO.COM 11-29 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
12/02/2024,12/02/2024,POS,,PAYMENTICO.COM 11-29 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
12/02/2024,12/02/2024,POS,,PAYMENTICO.COM 11-29 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
12/02/2024,12/02/2024,POS,,PAYMENTICO.COM 11-29 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
12/02/2024,12/02/2024,POS,,PAYMENTICO.COM 11-29 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
12/02/2024,12/02/2024,POS,,PAYMENTICO.COM 11-29 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
12/02/2024,12/02/2024,POS,,PAYMENTICO.COM 11-29 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
12/02/2024,12/02/2024,POS,,PAYMENTICO.COM 11-29 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
12/02/2024,12/02/2024,POS,,PAYMENTICO.COM 11-29 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
12/02/2024,12/02/2024,POS,,COSTCO WHSE #0359 11-29-24 CHARLOTTE NC 6537 DEBIT CARD PURCHASE-PIN,($58.07),
12/02/2024,12/02/2024,POS,,IWC INTERNATIONAL 11-29 323-5137780 CA 6537 DEBIT CARD PURCHASE,($49.3),
12/02/2024,12/02/2024,POS,,PAYMENTICO.COM 11-29 441344586020 6537 DEBIT CARD RECURRING PYMT,($20.99),
12/02/2024,12/02/2024,POS,,IWC INTERNATIONAL 11-29 323-5137780 CA 6537 DEBIT CARD PURCHASE,($10.5),
12/02/2024,12/02/2024,POS,,IWC INTERNATIONAL 11-29 323-5137780 CA 6537 DEBIT CARD PURCHASE,($10.5),
12/02/2024,12/02/2024,POS,,IWC INTERNATIONAL 11-29 323-5137780 CA 6537 DEBIT CARD PURCHASE,($10.5),
12/02/2024,12/02/2024,POS,,AMAZON MKTPL*ZL2M1 12-01 Amzn.com/bill WA 6537 DEBIT CARD PURCHASE,($40.57),
12/02/2024,12/02/2024,POS,,Google Audible Aud 12-01 650-2530000 CA 6537 DEBIT CARD PURCHASE,($8.53),
12/02/2024,12/02/2024,POS,,WAL-MART SUPER CENTER 12-01-24 MONROE 6537 DEBIT CARD PURCHASE-PIN,($28.51),
12/02/2024,12/02/2024,POS,,LOWE'S #680 12-01-24 MONROE NC 6537 DEBIT CARD PURCHASE-PIN,($39.31),
12/02/2024,12/02/2024,Debit,,PAYMENTICO.COM 11-29 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
12/02/2024,12/02/2024,Debit,,PAYMENTICO.COM 11-29 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
12/02/2024,12/02/2024,Debit,,PAYMENTICO.COM 11-29 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
12/02/2024,12/02/2024,Debit,,PAYMENTICO.COM 11-29 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
12/02/2024,12/02/2024,Debit,,PAYMENTICO.COM 11-29 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
12/02/2024,12/02/2024,Debit,,PAYMENTICO.COM 11-29 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
12/02/2024,12/02/2024,Debit,,PAYMENTICO.COM 11-29 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
12/02/2024,12/02/2024,Debit,,PAYMENTICO.COM 11-29 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
12/02/2024,12/02/2024,Debit,,PAYMENTICO.COM 11-29 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),
12/02/2024,12/02/2024,Debit,,PAYMENTICO.COM 11-29 441344586020 6537 INT'L SERVICE ASSESSMENT FEE,($0.63),$1023.45
12/03/2024,12/03/2024,POS,,SHELL OIL 57542238 12-01 MATTHEWS NC 6537 DEBIT CARD PURCHASE,($6.6),
12/03/2024,12/03/2024,POS,,NCDMV REGIS #34 MONROE 12-02-24MONROE 6537 DEBIT CARD PURCHASE-PIN,($229.01),
12/03/2024,12/03/2024,POS,,LOWE'S #680 12-02-24 MONROE NC 6537 DEBIT CARD PURCHASE-PIN,($17.81),$770.03
12/04/2024,12/04/2024,Credit,,12-03-24 VISA DIRECT WI 6537 AMFCONNECT INSURANCE VISA MONEY TRANSFER CREDIT,$867.36,
12/04/2024,12/04/2024,POS,,MOE'S SOUTHWEST GR 12-02 317-246-8193 NC 6537 DEBIT CARD PURCHASE,($22.73),
12/04/2024,12/04/2024,POS,,Amazon Prime*ZL1MP 12-03 Amzn.com/bill WA 6537 DEBIT CARD RECURRING PYMT,($8),$1606.66
12/05/2024,12/05/2024,POS,,TROPSUNPROD.COM 12-03 877-2567029 DE 6537 DEBIT CARD PURCHASE,($10.67),
12/05/2024,12/05/2024,Debit,,PAYMENT CITI CARD ONLINE 431557583370770 INTERNET PAYMENT,($120),
12/05/2024,12/05/2024,Debit,,CCPYMT WELLS FARGO CARD 90496495915799 INTERNET PAYMENT,($150),
12/05/2024,12/05/2024,Debit,,CCPYMT WELLS FARGO CARD 90154554349811 INTERNET PAYMENT,($163.01),
12/05/2024,12/05/2024,Debit,,EPAY CHASE CREDIT CRD 8004612125INTERNET PAYMENT,($300),$862.98
12/06/2024,12/06/2024,POS,,WALMART.COM 800925 12-04 800-966-6546 AR 6537 DEBIT CARD PURCHASE,($54.76),
12/06/2024,12/06/2024,POS,,CONNECT BY AMFAM A 12-05 800-535-2001 WI 6537 DEBIT CARD RECURRING PYMT,($359.14),$449.08
12/09/2024,12/09/2024,POS,,MCALISTER'S 1203 12-06 803-422-5225 NC 6537 DEBIT CARD PURCHASE,($54.56),
12/09/2024,12/09/2024,POS,,Google Audible Aud 12-08 650-2530000 CA 6537 DEBIT CARD PURCHASE,($12.8),
12/09/2024,12/09/2024,POS,,COSTCO WHSE #0359 12-08-24 CHARLOTTE NC 6537 DEBIT CARD PURCHASE-PIN,($38),
12/09/2024,12/09/2024,POS,,FOOD LION #2256 5939 W 12-08-24WESLEY CHAPEL 6537 DEBIT CARD PURCHASE-PIN,($44.91),$298.81
12/10/2024,12/10/2024,Credit,0,MOBILE DEPOSIT,$350,
